Fecha,CO,Temp Ext
13/01/18,,24.3
13/01/18,,18.6
13/01/18,,15.2
13/01/18,,24.9
13/01/18,,22.6
13/01/18,,17.6
13/01/18,,13.7
13/01/18,,20.5
13/01/18,,14.3
13/01/18,,13.5
13/01/18,,18.1
13/01/18,,13.3
13/01/18,,17.6
13/01/18,,15.3
13/01/18,,16.4
13/01/18,,14.7
13/01/18,,18.8
13/01/18,,19.7
13/01/18,,23.5
13/01/18,,21.2
14/01/18,,23.5
14/01/18,,23.5
14/01/18,,15.2
14/01/18,,17.4
14/01/18,,13.4
14/01/18,,19.4
14/01/18,,22.7
14/01/18,,21.2
14/01/18,,11.8
14/01/18,,13
14/01/18,,14.3
14/01/18,,17.4
14/01/18,,12
14/01/18,,11.1
14/01/18,,15.1
14/01/18,,10.5
14/01/18,,10.2
14/01/18,,16.2
14/01/18,,22.8
14/01/18,,16.6
14/01/18,,17.8
14/01/18,,16.9
14/01/18,,20.8
14/01/18,,18.5
15/01/18,,24
15/01/18,,22.9
15/01/18,,24.2
15/01/18,,24.2
15/01/18,,21.9
15/01/18,,20.5
15/01/18,,18.4
15/01/18,,16.4
15/01/18,,18.3
15/01/18,,23.3
15/01/18,,13
15/01/18,,14.2
15/01/18,,12.4
15/01/18,,13
15/01/18,,13.6
15/01/18,,12.3
15/01/18,,11.8
15/01/18,,17.5
15/01/18,,14.1
15/01/18,,15.6
15/01/18,,14.4
15/01/18,,20.5
15/01/18,,21.2
15/01/18,,19.4
16/01/18,,25.3
16/01/18,,25.1
16/01/18,,25.2
16/01/18,,24.3
16/01/18,,23
16/01/18,,23.7
16/01/18,,19.6
16/01/18,,12.9
16/01/18,,21.5
16/01/18,,13.9
16/01/18,,14.8
16/01/18,,20.4
16/01/18,,17.9
16/01/18,,16.7
16/01/18,,21.6
16/01/18,,12.5
16/01/18,,11.9
16/01/18,,11.9
16/01/18,,18.4
16/01/18,,13.1
16/01/18,,17.6
16/01/18,,16
16/01/18,,15.5
16/01/18,,19.6
17/01/18,,14.7
17/01/18,,14.1
17/01/18,,13.6
17/01/18,,12.3
17/01/18,,14.8
17/01/18,,11.7
17/01/18,,15
17/01/18,,12.7
17/01/18,,17
17/01/18,,15.9
17/01/18,,21.1
17/01/18,,18.7
17/01/18,,19.7
17/01/18,,20.4
17/01/18,,22.1
17/01/18,,23.3
17/01/18,,24.2
17/01/18,,24.3
17/01/18,,24.2
17/01/18,,15.7
17/01/18,,23.1
17/01/18,,21.8
18/01/18,1.425,25.2
18/01/18,1.446,24.9
18/01/18,1.662,19.4
18/01/18,1.482,24.6
18/01/18,1.502,23.9
18/01/18,1.599,23.1
18/01/18,1.642,18.4
18/01/18,1.617,22.3
18/01/18,1.735,18.6
18/01/18,1.825,20.3
18/01/18,1.672,20.4
18/01/18,1.753,20.4
18/01/18,1.938,17.2
18/01/18,1.773,21
18/01/18,2.641,15.5
18/01/18,2.865,14
18/01/18,,13.8
18/01/18,,15.8
18/01/18,,16.6
18/01/18,,17.1
18/01/18,,14.1
18/01/18,,17.9
18/01/18,,15
18/01/18,,13.4
19/01/18,1.409,24.7
19/01/18,1.467,24.2
19/01/18,1.422,24.3
19/01/18,1.459,23
19/01/18,1.615,22
19/01/18,1.751,16.1
19/01/18,1.748,15.2
19/01/18,1.674,18.4
19/01/18,1.725,15
19/01/18,1.731,17.2
19/01/18,1.741,19.1
19/01/18,1.552,22.1
19/01/18,1.68,23
19/01/18,1.831,14.3
19/01/18,1.751,19.8
19/01/18,1.811,14.8
19/01/18,1.891,20.6
19/01/18,2.006,13.9
19/01/18,1.621,20.8
19/01/18,2.998,13.7
19/01/18,3.124,14.7
19/01/18,1.93,22.1
19/01/18,2.425,18.8
19/01/18,2.97,17.3
20/01/18,1.439,24.2
20/01/18,1.385,25
20/01/18,1.361,25.3
20/01/18,1.391,24.8
20/01/18,1.638,20.4
20/01/18,1.635,19.5
20/01/18,1.615,22.7
20/01/18,1.621,23.4
20/01/18,1.751,16
20/01/18,1.736,18.9
20/01/18,1.751,17.3
20/01/18,1.754,21.2
20/01/18,1.844,14.7
20/01/18,1.836,14.2
20/01/18,1.69,21.9
20/01/18,1.785,15.1
20/01/18,1.735,16.3
20/01/18,1.829,18.3
20/01/18,2.375,13.9
20/01/18,2.606,13.3
20/01/18,2.662,14.3
20/01/18,2.036,20.3
20/01/18,2.853,16.2
20/01/18,2.518,18.3
21/01/18,1.323,25.7
21/01/18,1.443,25.3
21/01/18,1.409,25.9
21/01/18,1.361,26.1
21/01/18,1.506,23.4
21/01/18,1.632,20.3
21/01/18,1.669,19.3
21/01/18,1.691,21.6
21/01/18,1.732,24.4
21/01/18,2.304,13.3
21/01/18,1.721,18.9
21/01/18,1.976,14.4
21/01/18,2.054,17.6
21/01/18,2.07,14.4
21/01/18,2.252,16.6
21/01/18,2.041,15.6
21/01/18,2.648,13
21/01/18,2.199,15.1
21/01/18,2.112,18.1
21/01/18,3.394,13.6
21/01/18,2.126,22.2
21/01/18,2.447,20.3
21/01/18,3.963,15.9
21/01/18,3.122,18.4
22/01/18,1.641,24.6
22/01/18,1.669,24.7
22/01/18,1.688,23.4
22/01/18,1.706,24.1
22/01/18,1.861,22.6
22/01/18,1.943,22.3
22/01/18,1.923,14
22/01/18,1.937,14.5
22/01/18,2.015,14
22/01/18,2.059,15.1
22/01/18,2.074,17.6
22/01/18,2.038,21.7
22/01/18,2.009,21.1
22/01/18,2.156,16.6
22/01/18,2.519,14.1
22/01/18,2.151,21.4
22/01/18,2.147,20.6
22/01/18,3.536,13.8
22/01/18,4.004,14.8
22/01/18,2.465,19
22/01/18,2.84,20.8
22/01/18,3.223,19.7
22/01/18,2.923,17.1
22/01/18,3.309,20.3
23/01/18,1.467,26
23/01/18,1.471,26.1
23/01/18,1.551,25.6
23/01/18,1.635,21.4
23/01/18,1.628,22.5
23/01/18,1.584,25.7
23/01/18,1.648,24.6
23/01/18,1.593,19.8
23/01/18,1.652,20.3
23/01/18,1.64,20.8
23/01/18,1.714,25.8
23/01/18,1.939,24.9
23/01/18,1.997,16.7
